date,event,name,time_et
2016-01-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-01-20,CPI,CPI release,08:30
2016-01-27,FOMC,FOMC rate decision,14:00
2016-02-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-02-19,CPI,CPI release,08:30
2016-03-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-03-16,CPI,CPI release,08:30
2016-03-16,FOMC,FOMC rate decision,14:00
2016-04-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-04-14,CPI,CPI release,08:30
2016-04-27,FOMC,FOMC rate decision,14:00
2016-05-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-05-17,CPI,CPI release,08:30
2016-06-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-06-15,FOMC,FOMC rate decision,14:00
2016-06-16,CPI,CPI release,08:30
2016-07-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-07-15,CPI,CPI release,08:30
2016-07-27,FOMC,FOMC rate decision,14:00
2016-08-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-08-16,CPI,CPI release,08:30
2016-09-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-09-16,CPI,CPI release,08:30
2016-09-21,FOMC,FOMC rate decision,14:00
2016-10-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-10-18,CPI,CPI release,08:30
2016-11-02,FOMC,FOMC rate decision,14:00
2016-11-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-11-17,CPI,CPI release,08:30
2016-12-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2016-12-14,FOMC,FOMC rate decision,14:00
2016-12-15,CPI,CPI release,08:30
2017-01-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-01-18,CPI,CPI release,08:30
2017-02-01,FOMC,FOMC rate decision,14:00
2017-02-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-02-15,CPI,CPI release,08:30
2017-03-10,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-03-15,CPI,CPI release,08:30
2017-03-15,FOMC,FOMC rate decision,14:00
